DATE,PRICE,STRIKE,IMPLIED VOL 1 MTH.,IMPLIED VOL 1 YR .,LIFE DAYS,OPEN INTEREST,U/LYING PRICE
01.06.2013,17.1,450,0.2657,0.2739,47,1670536,450.72
01.07.2013,16.15,410,0.2672,0.2922,47,1498145,409.22
01.08.2013,13.85,455,0.2036,0.2569,51,1468089,456.68
01.09.2013,15.25,485,0.2916,0.2898,22,1552954,487.22
01.10.2013,19.3,490,0.2819,0.2965,46,1655621,487.96
01.11.2013,17.65,520,0.2468,0.2871,50,1624523,520.03
01.12.2013,19.9,550,0.242,0.2776,47,1468942,551.23
01.01.2014,11.85,560,0.2489,0.2848,18,1473935,561.02
01.02.2014,17.05,500,0.2426,0.25,47,1153815,501.53
01.03.2014,14.65,530,0.1991,0.2419,47,1093600,527.76
01.04.2014,17.5,540,0.1842,0.2325,46,1032228,541.65
01.05.2014,17,590,0.1882,0.2184,51,1007108,591.48
01.06.2014,18,630,0.2124,0.2349,47,1071401,628.65
01.07.2014,3.2,93.6,0.2106,0.255,46,7289953,93.52
01.08.2014,3.92,95,0.2394,0.2734,50,6439956,96.13
01.09.2014,2.77,102,0.2443,0.2576,22,5792891,102.5
01.10.2014,3.55,100,0.2473,0.2727,52,6110577,99.18
01.11.2014,2.59,110,0.1898,0.2653,47,5092214,109.4
01.12.2014,4.28,115,0.265,0.2843,47,4432248,115.07
01.01.2015,2.25,110.7,0.276,0.3034,17,4545847,110.38
01.02.2015,3.6,120,0.2553,0.29,46,3513545,118.63
01.03.2015,5.05,128.6,0.2665,0.2817,46,3372641,129.09
01.04.2015,4.8,125,0.2746,0.2737,44,3504733,124.25
01.05.2015,4,130,0.2446,0.278,49,3488077,128.95
01.06.2015,3.96,130,0.1932,0.2618,46,3512103,130.54
01.07.2015,5.1,125,0.1946,0.253,51,3597935,126.6
01.08.2015,3.4,120,0.2641,0.2755,46,3708095,118.44
01.09.2015,5.4,110,0.4565,0.3723,45,3967107,107.72
01.10.2015,5.55,110,0.3389,0.3359,50,3888707,109.58
01.11.2015,4.19,120,0.2192,0.2753,46,3607857,121.18
01.12.2015,3.72,117.1,0.2144,0.2807,45,3224948,117.34
01.01.2016,2.22,105,0.2681,0.2768,15,3237852,105.26
01.02.2016,2.87,97.5,0.2598,0.2947,46,2910969,96.43
01.03.2016,3.45,100,0.2202,0.2783,45,2856847,100.53
01.04.2016,3.8,110,0.209,0.2477,49,2883776,109.99
01.05.2016,3.5,92.5,0.2483,0.2745,46,2961771,93.64
01.06.2016,3.3,97.5,0.197,0.2556,44,3114292,98.46
01.07.2016,3.45,95,0.1819,0.2528,49,2918360,95.89
01.08.2016,3.06,105,0.1737,0.241,46,2890655,106.05
01.09.2016,4.12,105,0.2013,0.2411,50,3000433,106.73
01.10.2016,2.74,115,0.2105,0.2417,46,3173840,112.52
01.11.2016,3.75,110,0.2111,0.2482,45,2883775,111.49
01.12.2016,2.93,110,0.1934,0.2472,50,2962746,109.49
01.01.2017,1.81,116,0.1876,0.2481,21,2795788,115.82
