DATE,PRICE,STRIKE,IMPLIED VOL 1 MTH.,IMPLIED VOL 1 YR .,LIFE DAYS,OPEN INTEREST,U/LYING PRICE
01.06.2013,16.4,450,0.2681,0.2832,47,1038853,450.72
01.07.2013,18.55,410,0.2766,0.2972,47,929496,409.22
01.08.2013,15.1,455,0.2054,0.2642,51,885009,456.68
01.09.2013,12.85,485,0.2899,0.2961,22,899119,487.22
01.10.2013,23.27,490,0.281,0.3003,46,943670,487.96
01.11.2013,20.2,520,0.2436,0.2889,50,948654,520.03
01.12.2013,18.1,550,0.2359,0.2778,47,885415,551.23
01.01.2014,10.65,560,0.2478,0.2856,18,902671,561.02
01.02.2014,17.92,500,0.2356,0.2515,47,730669,501.53
01.03.2014,16.66,530,0.1996,0.2479,47,743373,527.76
01.04.2014,17.97,540,0.184,0.2352,46,743269,541.65
01.05.2014,18.7,590,0.1908,0.2191,51,702398,591.48
01.06.2014,18.95,630,0.2147,0.2336,47,721451,628.65
01.07.2014,3.49,93.6,0.2067,0.2489,46,4583927,93.52
01.08.2014,3.2,95,0.2399,0.2682,50,4090755,96.13
01.09.2014,2.18,102,0.2377,0.2515,22,4046878,102.5
01.10.2014,4.61,100,0.2409,0.265,52,4461241,99.18
01.11.2014,3.65,110,0.1912,0.2602,47,3741277,109.4
01.12.2014,4.2,115,0.2637,0.2769,47,3958818,115.07
01.01.2015,2.49,110.7,0.2654,0.2887,17,4108177,110.38
01.02.2015,5.45,120,0.26,0.2874,46,2141304,118.63
01.03.2015,4.5,128.6,0.2644,0.2827,46,2265950,129.09
01.04.2015,5.95,125,0.2768,0.2744,44,2357775,124.25
01.05.2015,5.55,130,0.2458,0.2718,49,2229742,128.95
01.06.2015,3.38,130,0.1927,0.2542,46,2420638,130.54
01.07.2015,3.82,125,0.1963,0.2459,51,2610207,126.6
01.08.2015,5.35,120,0.2636,0.2618,46,2830538,118.44
01.09.2015,7.25,110,0.4297,0.3469,45,2966065,107.72
01.10.2015,6.35,110,0.342,0.3243,50,2837415,109.58
01.11.2015,3.45,120,0.2166,0.2649,46,2525285,121.18
01.12.2015,3.48,117.1,0.2158,0.2697,45,2415750,117.34
01.01.2016,1.94,105,0.2665,0.2628,15,2471872,105.26
01.02.2016,4.4,97.5,0.2577,0.2859,46,1933325,96.43
01.03.2016,2.84,100,0.2186,0.2777,45,1848051,100.53
01.04.2016,4.25,110,0.2117,0.2463,49,1851938,109.99
01.05.2016,2.8,92.5,0.2401,0.2671,46,1850170,93.64
01.06.2016,2.28,97.5,0.1975,0.255,44,1847548,98.46
01.07.2016,2.87,95,0.1802,0.2499,49,1790066,95.89
01.08.2016,2.5,105,0.1721,0.2419,46,1826216,106.05
01.09.2016,2.32,105,0.202,0.2433,50,1812600,106.73
01.10.2016,5.55,115,0.2074,0.2402,46,1961851,112.52
01.11.2016,2.78,110,0.213,0.2463,45,1897622,111.49
01.12.2016,3.35,110,0.1936,0.2443,50,2043719,109.49
01.01.2017,1.84,116,0.1794,0.243,21,1994827,115.82
01.02.2017,3.67,130,0.1578,0.2246,44,1441028,128.75
01.03.2017,3.3,140,0.1544,0.2342,51,1598829,139.79
01.04.2017,4.98,145,0.1628,0.2258,46,1686931,143.7
01.05.2017,3.32,145,0.2147,0.2177,46,1562776,146.58
01.06.2017,4.55,155,0.1592,0.2262,50,1777321,153.18
01.07.2017,5.78,145,0.2132,0.2333,46,1704953,143.5
01.08.2017,4.91,150,0.2473,0.2363,45,1571734,150.05
01.09.2017,5.92,165,0.2248,0.2468,49,1675084,164.05
01.10.2017,6.1,155,0.2096,0.2518,46,1809084,153.81
01.11.2017,5.38,165,0.305,0.2505,44,1663395,166.89
01.12.2017,4.25,170,0.1946,0.244,49,1834525,171.05
01.01.2018,3.02,170,0.1912,0.2367,21,1889413,169.23
01.02.2018,7.62,170,0.3135,0.2459,43,1124560,167.78
01.03.2018,5.94,175,0.245,0.2539,50,1384992,175
01.04.2018,6.89,165,0.3138,0.2716,46,1285100,166.68
01.05.2018,6.81,170,0.3023,0.2411,45,1273228,169.1
01.06.2018,4.35,190,0.1684,0.216,49,1353572,190.24
01.07.2018,5.45,185,0.2077,0.2285,46,1412899,187.18
01.08.2018,4.75,200,0.182,0.2135,51,1365306,201.5
01.09.2018,4.7,227.5,0.2225,0.2329,21,1654170,227.63
01.10.2018,6.65,225,0.2109,0.2411,46,1524140,227.26
01.11.2018,9.72,220,0.387,0.2699,50,1435900,222.22
01.12.2018,6.27,185,0.2488,0.2708,46,1558102,184.82
01.01.2019,4.92,157.5,0.3763,0.307,18,1402311,157.74
01.02.2019,4.55,165,0.2255,0.2502,42,1298436,166.52
01.03.2019,4.6,175,0.1815,0.2359,48,1314738,174.97
01.04.2019,6.5,190,0.2291,0.2401,46,1445017,191.24
01.05.2019,5.9,210,0.1975,0.2316,51,1501983,210.52
01.06.2019,7.9,175,0.3099,0.2759,46,1633456,173.3
01.07.2019,6.82,200,0.234,0.2462,46,1436886,201.55
01.08.2019,8.85,210,0.2686,0.2487,50,1358418,208.43
01.09.2019,4.88,207.5,0.2817,0.2829,21,1394510,208.74
01.10.2019,9.4,225,0.2673,0.2674,45,1424903,224.59
01.11.2019,7.33,255,0.2032,0.251,49,1504665,255.82
01.12.2019,8.1,265,0.2142,0.2564,46,1770994,264.16
01.01.2020,5.25,292.5,0.2783,0.2577,52,704013,293.65
01.02.2020,12.55,310,0.272,0.268,46,1175150,308.66
01.03.2020,15.2,300,0.3768,0.291,46,1248866,298.81
01.04.2020,19.5,240,0.6072,0.3797,44,1146049,240.91
01.05.2020,15.2,290,0.8405,0.3327,49,1142064,289.07
01.06.2020,11.41,320,1.2419,0.3121,46,1152591,321.85
01.07.2020,19.03,365,0.3055,0.3199,51,1079319,364.11
01.08.2020,22.04,435,0.3669,0.3307,46,1130318,435.75
01.09.2020,23,133.8,0.4882,0.4326,45,663951,134.18
01.10.2020,8.25,116.3,0.4433,0.4056,50,4899732,116.79
01.11.2020,7.02,110,0.4407,0.3692,46,4603342,108.77
01.12.2020,5.7,122.5,0.3325,0.355,45,4706746,122.72
01.01.2021,3.8,133,0.3572,0.3552,15,1206726,132.69
01.02.2021,7.95,135,0.3802,0.3878,46,2901281,134.14
01.03.2021,5.6,127.5,0.3137,0.3464,46,3576650,127.79
01.04.2021,6.5,125,0.2608,0.2966,50,429972,123
01.05.2021,5.9,135,0.2284,0.2873,46,3504376,132.54
01.06.2021,4.25,125,0.2265,0.2708,45,3821901,124.28
01.07.2021,3.78,135,0.2003,0.2737,50,3445605,137.27
01.08.2021,4.4,145,0.2087,0.2813,46,3489235,145.52
01.09.2021,6.15,155,0.2203,0.2795,44,3724051,152.51
01.10.2021,7,145,0.2544,0.283,49,3547429,142.65
01.11.2021,5.07,150,0.2037,0.2754,46,3439139,148.96
01.12.2021,7.61,165,0.3269,0.3107,51,3651524,164.77
01.01.2022,6.35,180,0.2609,0.2848,46,3713728,182.01
01.02.2022,6.7,175,0.2617,0.2978,45,2797295,174.61
01.03.2022,8,165,0.3244,0.3127,44,2924042,163.2
01.04.2022,7.2,175,0.2473,0.3011,49,3080827,174.31
01.05.2022,8.63,160,0.3568,0.3314,46,2992372,157.96
01.06.2022,7.4,150,0.3437,0.3203,44,3304437,148.71
01.07.2022,7.75,140,0.3403,0.3384,49,280670,138.93
01.08.2022,5.4,160,0.2686,0.3073,46,3420369,161.51
01.09.2022,7.7,160,0.2958,0.3194,50,3683423,157.96
01.10.2022,6.65,140,0.3786,0.3445,46,3454066,142.45
01.11.2022,6.35,150,0.334,0.337,45,3517118,150.65
01.12.2022,6.93,150,0.3039,0.3264,50,3608278,148.31
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
